Nom modifié;Nom original
Le fabuleux voyage de Magellan;Le fabuleux voyage de Magellan
Lincroyable sauvetage des temples dAbu Simbel;L'incroyable sauvetage des temples d'Abu Simbel
Elizabeth I et Marie Stuart une impitoyable guerre de trônes;Elizabeth I et Marie Stuart : une impitoyable guerre de trônes
Houdini le plus grand magicien de tous les temps;Houdini, le plus grand magicien de tous les temps
Les Odyssées dAlexandre Dumas 14  DArtagnan rencontre les Trois Mousquetaires;Les Odyssées d'Alexandre Dumas 1/4 : D'Artagnan rencontre les Trois Mousquetaires
Les Odyssées dAlexandre Dumas 24  Les Trois Mousquetaires et lhomme au masque de fer;Les Odyssées d'Alexandre Dumas 2/4 : Les Trois Mousquetaires et l'homme au masque de fer
Les Odyssées dAlexandre Dumas 34  Le Comte de MonteCristo;Les Odyssées d'Alexandre Dumas 3/4 : Le Comte de Monte-Cristo
Les Odyssées dAlexandre Dumas 44  Le Chevalier de MaisonRouge au secours de MarieAntoinette;Les Odyssées d'Alexandre Dumas 4/4 : Le Chevalier de Maison-Rouge au secours de Marie-Antoinette
Lhistoire des ÉtatsUnis pour les kids  La rencontre;L'histoire des États-Unis pour les kids : La rencontre
Lhistoire des ÉtatsUnis pour les kids  Du Missouri aux Rocheuses;L'histoire des États-Unis pour les kids : Du Missouri aux Rocheuses
Les Odyssées au cœur de la Seconde Guerre mondiale  Marcel Ouimet un reporter au cœur du Débarquement;Les Odyssées au cœur de la Seconde Guerre mondiale : Marcel Ouimet, un reporter au cœur du Débarquement
Les Odyssées des musées dOrsay et de lOrangerie 15  La naissance de limpressionnisme;Les Odyssées des musées d'Orsay et de l'Orangerie 1/5 : La naissance de l’impressionnisme
Les Odyssées des musées dOrsay et de lOrangerie 25  Berthe Morisot la première femme impressionniste;Les Odyssées des musées d'Orsay et de l'Orangerie 2/5 : Berthe Morisot, la première femme impressionniste !
Les Odyssées des musées dOrsay et de lOrangerie 35  DegasManet Le clash;Les Odyssées des musées d'Orsay et de l'Orangerie 3/5 : Degas-Manet : Le clash
Les Odyssées des musées dOrsay et de lOrangerie 45  Paul Durand Ruel le fou de peinture;Les Odyssées des musées d'Orsay et de l'Orangerie 4/5 : Paul Durand Ruel, le fou de peinture !
Les Odyssées des musées dOrsay et de lOrangerie 55  Claude Monet Georges Clemenceau et les Nymphéas;Les Odyssées des musées d'Orsay et de l'Orangerie 5/5 : Claude Monet, Georges Clemenceau et les Nymphéas
Vincent Munier sur les traces du loup des glaces;Vincent Munier sur les traces du loup des glaces
Les Odyssées au cœur de la Seconde Guerre mondiale  Simon Gronowski Ma vie est un miracle;"Les Odyssées au cœur de la Seconde Guerre mondiale : Simon Gronowski : ""Ma vie est un miracle"""
Oum Kalthoum la diva du MoyenOrient;Oum Kalthoum la diva du Moyen-Orient
Marie Marvingt la fiancée du danger;"Marie Marvingt la ""fiancée du danger"""
Les Odyssées au cœur de la Seconde Guerre mondiale  Alan Turing les maths comme arme de guerre;Les Odyssées au cœur de la Seconde Guerre mondiale : Alan Turing : les maths comme arme de guerre !
Cartouche le roi des voleurs;Cartouche le roi des voleurs !
Cléopâtre reine et pharaonne dEgypte épisode 2;Cléopâtre, reine et pharaonne d'Egypte épisode 2
Cléopâtre reine et pharaonne dEgypte épisode 1;Cléopâtre, reine et pharaonne d'Egypte épisode 1
Bande annonce  Découvrez Cléopâtre dans de nouveaux épisodes des Odyssées;Bande annonce - Découvrez Cléopâtre dans de nouveaux épisodes des Odyssées
Les Odyssées de Jules Verne 14  Vingt mille lieues sous les mers;Les Odyssées de Jules Verne 1/4 : Vingt mille lieues sous les mers
Les Odyssées de Jules Verne 24  Voyage au centre de la Terre;Les Odyssées de Jules Verne 2/4 : Voyage au centre de la Terre
Amelia Earhart à la conquête du ciel;Amelia Earhart : à la conquête du ciel !
Les Odyssées de Jules Verne 34  Le Tour du monde en 80 jours;Les Odyssées de Jules Verne 3/4 : Le Tour du monde en 80 jours
Les Odyssées de Jules Verne 44  De la Terre à la Lune;Les Odyssées de Jules Verne 4/4 : De la Terre à la Lune
La révolte des enfants du bagne de BelleÎle;La révolte des enfants du bagne de Belle-Île
Surya Bonaly le génie du patin;Surya Bonaly, le génie du patin !
Frida Kahlo  peindre la vie pour oublier la douleur;Frida Kahlo : peindre la vie pour oublier la douleur
Laffaire des poisons;L'affaire des poisons
Les Odyssées au cœur de la Seconde Guerre mondiale  Irena Sendler la Juste du ghetto de Varsovie;Les Odyssées au cœur de la Seconde Guerre mondiale : Irena Sendler, la Juste du ghetto de Varsovie
Laffaire Cook Peary Henson qui a découvert le pôle Nord;L'affaire Cook, Peary, Henson : qui a découvert le pôle Nord ?
Les Cholitas 5 aventurières boliviennes à lassaut du plus haut sommet dAmérique;Les Cholitas : 5 aventurières boliviennes à l'assaut du plus haut sommet d'Amérique !
Ramsès II;Ramsès II
La découverte de la grotte Cosquer;La découverte de la grotte Cosquer
Ching Shih la pirate chinoise;Ching Shih, la pirate chinoise
Helen Keller;Helen Keller
Ramsès II raconté par Laure Grandbesançon;Ramsès II, raconté par Laure Grandbesançon
Joséphine Baker;Joséphine Baker
Lhistoire des ÉtatsUnis pour les kids  Eliot Ness contre Al Capone;L'histoire des États-Unis pour les kids : Eliot Ness contre Al Capone
Henri Guillaumet  héros de laéropostale;Henri Guillaumet : héros de l'aéropostale
À la recherche du monstre des profondeurs;À la recherche du monstre des profondeurs
Percy Fawcett et la mystérieuse cité de Z Episode 1;Percy Fawcett et la mystérieuse cité de Z : Episode 1
Percy Fawcett et La mystérieuse cité de Z épisode 2;Percy Fawcett et La mystérieuse cité de Z : épisode 2
Vercingétorix contre César;Vercingétorix contre César
Rosalind Franklin la femme qui a découvert le secret de lADN;Rosalind Franklin : la femme qui a découvert le secret de l'ADN
Yasuké le premier samouraï noir de lHistoire;Yasuké, le premier samouraï noir de l'Histoire
Les 1001 nuits 14  Shéhérazade conteuse de génie;Les 1001 nuits 1/4 : Shéhérazade conteuse de génie
Les 1001 nuits 24  Aladin et le sorcier maléfique;Les 1001 nuits 2/4 : Aladin et le sorcier maléfique
